source_url,status,checked_on,source_grade,fact_count
https://ai.meta.com/blog/large-language-model-llama-meta-ai/,accessible,2026-08-15,A,1
https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,accessible,2026-08-15,A,1
https://ai.meta.com/blog/meta-llama-3-1/,accessible,2026-08-15,A,2
https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/,accessible,2026-08-15,A,1
https://ai.meta.com/research/publications/segment-anything/,accessible,2026-08-15,A,2
https://api-docs.deepseek.com/news/news250120/,accessible,2026-08-15,A,1
https://arxiv.org/abs/2405.04434,accessible,2026-08-15,B,1
https://blog.google/innovation-and-ai/products/gemini-app/next-evolution-gemini-app/,accessible,2026-08-15,A,3
https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/,accessible,2026-08-15,A,1
https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,accessible,2026-08-15,A,1
https://blog.google/products-and-platforms/products/gemini/gemini-2-5-model-family-expands/,accessible,2026-08-15,A,1
https://blog.google/products-and-platforms/products/gemini/gemini-3/,accessible,2026-08-15,A,1
https://deepmind.google/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/,accessible,2026-08-15,B,2
https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act,accessible,2026-08-15,B,1
https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,accessible,2026-08-15,B,1
https://hai.stanford.edu/ai-index/2025-ai-index-report,accessible,2026-08-15,B,3
https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development,accessible,2026-08-15,B,2
https://hai.stanford.edu/ai-index/2026-ai-index-report,accessible,2026-08-15,B,6
https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,accessible,2026-08-15,B,3
https://home.alibabagroup.com/en-US/document-1853940226976645120,accessible,2026-08-15,A,2
https://openai.com/index/chatgpt/,accessible,2026-08-15,A,1
https://openai.com/index/dall-e-2-update/,accessible,2026-08-15,A,1
https://openai.com/index/dall-e-now-available-without-waitlist/,accessible,2026-08-15,A,2
https://openai.com/index/gpt-oss-model-card/,accessible,2026-08-15,A,3
https://openai.com/index/introducing-chatgpt-agent/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-chatgpt-images-2-0/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-gpt-5-4/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-gpt-5-5/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-gpt-5/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-gpt-rosalind/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-o3-and-o4-mini/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-openai-frontier/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-openai-o1-preview/,accessible,2026-08-15,B,1
https://openai.com/index/introducing-openai-presence/,accessible,2026-08-15,A,1
https://openai.com/index/introducing-operator/,accessible,2026-08-15,A,1
https://openai.com/index/new-models-and-developer-products-announced-at-devday/,accessible,2026-08-15,A,1
https://openai.com/index/previewing-gpt-5-6-sol/,accessible,2026-08-15,A,1
https://openai.com/index/video-generation-models-as-world-simulators/,accessible,2026-08-15,A,1
https://platform.minimax.io/docs/release-notes/models,accessible,2026-08-15,A,3
https://qwen.ai/blog?email_hash=23463b99b62a72f26ed677cc556c44e8&id=qwen3.5,accessible,2026-08-15,A,1
https://research.google/blog/pathways-language-model-palm-scaling-to-540-billion-parameters-for-breakthrough-performance/,accessible,2026-08-15,B,1
https://stability.ai/news-updates/stable-diffusion-public-release,accessible,2026-08-15,A,1
https://www.alibabacloud.com/blog/601268,accessible,2026-08-15,A,2
https://www.anthropic.com/news/claude-3-7-sonnet,accessible,2026-08-15,A,1
https://www.anthropic.com/news/claude-4,accessible,2026-08-15,A,1
https://www.anthropic.com/news/claude-fable-5-mythos-5,accessible,2026-08-15,A,1
https://www.anthropic.com/news/claude-sonnet-4-5,accessible,2026-08-15,A,1
https://www.anthropic.com/news/introducing-anthropic-labs,accessible,2026-08-15,A,1
https://www.anthropic.com/news/series-h,accessible,2026-08-15,A,1
https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,accessible,2026-08-15,B,1
https://www.deepseek.com/en/transparency/,accessible,2026-08-15,A,1
https://www.minimax.io/blog/minimax-m3,accessible,2026-08-15,A,1
https://x.ai/news/grok-4,accessible,2026-08-15,A,1
